log_prob,q1_loss,q2_loss,policy_loss,alpha
-1.35668,0.12270366,0.12549105,-2.3864222,[0.97890556]
-1.3640907,0.12992255,0.13368115,-2.4050741,[0.97861195]
-1.3589498,0.106613606,0.10889563,-2.3922596,[0.97831845]
-1.3505044,0.10474664,0.109832756,-2.3911164,[0.97802514]
-1.3889462,0.095986634,0.102944255,-2.4287753,[0.97773176]
-1.366549,0.11444095,0.12177207,-2.3972273,[0.9774384]
-1.3519831,0.13866176,0.14184545,-2.4005558,[0.97714514]
-1.3648547,0.09117813,0.09641373,-2.4130173,[0.976852]
-1.3531619,0.11199858,0.11674847,-2.4162583,[0.97655904]
-1.3650614,0.10627528,0.10991804,-2.4227195,[0.9762662]
-1.3741126,0.10610071,0.11105102,-2.4346607,[0.97597325]
-1.3678807,0.09626937,0.10141842,-2.4571967,[0.9756804]
-1.3478885,0.11402967,0.1198227,-2.4327955,[0.9753878]
-1.3754971,0.085683405,0.092065394,-2.484282,[0.9750951]
-1.3627261,0.090411425,0.093932435,-2.4704354,[0.9748025]
-1.3644726,0.10778703,0.1123911,-2.4985602,[0.9745101]
-1.3890376,0.113226436,0.11765607,-2.5272737,[0.97421753]
-1.370398,0.103525855,0.10389328,-2.5440166,[0.97392493]
-1.3600264,0.12035994,0.12239228,-2.5363932,[0.9736325]
-1.3482337,0.1069994,0.107751995,-2.5208988,[0.9733404]
-1.3548871,0.08422464,0.087728396,-2.5291662,[0.9730484]
-1.3834577,0.11597298,0.11922254,-2.5412936,[0.9727563]
-1.3624332,0.09890263,0.10279116,-2.5418038,[0.9724644]
-1.380522,0.094725475,0.099698424,-2.5242672,[0.9721724]
-1.3606389,0.13311031,0.13875532,-2.5172377,[0.9718805]
-1.3625,0.099768065,0.102772094,-2.520947,[0.9715888]
-1.3615143,0.101721965,0.10547878,-2.525655,[0.9712972]
-1.3660936,0.10267717,0.107771754,-2.508408,[0.9710057]
-1.3775389,0.076721534,0.08030893,-2.5348954,[0.97071415]
-1.3709365,0.09981379,0.10164079,-2.5434008,[0.9704226]
